"type","code","score","sportsmen_count","equipment","description","image"
"balance","AHB84","1.2","1","Кольцо","Проворот плеча  Удержание ног от участке от колена до щиколотки Ноги прямые Руки прямые Продольная шпагатная линия","https://admin.wafed.org/storage/elements/19181/image.webp"
"balance","AHB85","1.2","1","Кольцо","Ноги прямые                           Руки прямые                       Ноги не перекрещены                    упор руками в нижнюю дугу ","https://admin.wafed.org/storage/elements/19182/image.webp"
"balance","AHB86","1.2","1","Кольцо","Упор плечом в нижнюю дугу  Удержание разноименных ног                                          Ноги прямые  ","https://admin.wafed.org/storage/elements/19183/image.webp"
"balance","AHB87","1.2","1","Кольцо","Грудная клетка на нижней дуге  Корпус в прогибе                                   Кольцо с внешней стороны ног Одна рука не на снаряде Ноги прямые","https://admin.wafed.org/storage/elements/19184/image.webp"
"balance","AHB88","1.4","1","Кольцо","Раскрытие продольной шпагатной линии  Ноги прямые  проворот плеча  Удержание разноименной ноги за щиколотку Рука удерживающая ногу проходит под кольцом ","https://admin.wafed.org/storage/elements/19185/image.webp"
"balance","AHB89","1.4","1","Кольцо","Ноги прямые  Удержание одноименной рукой ноги в распоре в хвате бильман с проворотом плеч  Раскрытие продольной шпагатной линии Свободная рука не на кольце","https://admin.wafed.org/storage/elements/19186/image.webp"
"balance","AHB90","1.4","1","Кольцо","Упор бедром в плечо Ноги прямые Линия ног и корпуса параллельна полу ","https://admin.wafed.org/storage/elements/19187/image.webp"
"balance","AHB91","1.4","1","Кольцо","Продольный шпагат 180 градусов и более  Щиколотка задней ноги проходит под кистью одноименной руки  Руки прямые  Ноги прямые","https://admin.wafed.org/storage/elements/19188/image.webp"
"balance","AHB92","1.4","1","Кольцо","Удержание кольца подмышкой Ноги прямые Удержание разноименной ноги в положении бильман с проворотом плеча Продольный шпагат 180 градусов и более","https://admin.wafed.org/storage/elements/19189/image.webp"
"balance","AHB93","1.4","1","Кольцо","Локти на верхней дуге Удержание прямой ноги с проворотом плеч Упор стопой в нижнюю дугу Без дополниельных фиксаций за карабин/трос","https://admin.wafed.org/storage/elements/19190/image.webp"
"balance","AHB94","1.4","1","Кольцо","Ноги прямые Продольный шпагат 180 градусов и более Свободная нога в параллель полу ","https://admin.wafed.org/storage/elements/19191/image.webp"
"balance","AHB95","1.4","1","Кольцо","Плечи, руки, голова под кольцом  Без дополнительных упоров  Руки удерживают ногу с проворотом плеча Вторая нога открывает шпагатную линию Ноги с одной стороны кольца ","https://admin.wafed.org/storage/elements/19192/image.webp"
"balance","AHB96","1.4","1","Кольцо","Упор локтем в живот Ноги прямые Ноги не касаются кольца Без упора грудью в кольцо (касание допускается)","https://admin.wafed.org/storage/elements/19193/image.webp"
"balance","AHB97","1.4","1","Кольцо","Продольный шпагат 180 градусов и более Ноги прямые","https://admin.wafed.org/storage/elements/19194/image.webp"
"balance","AHB98","1.4","1","Кольцо","Удержание ноги за щиколотку.                           Ноги и грудь не касаются кольца. ","https://admin.wafed.org/storage/elements/19195/image.webp"
"balance","AHB99","1.4","1","Кольцо","Продольный шпагат 180 градусов и более Разноименная рука над ногой","https://admin.wafed.org/storage/elements/19196/image.webp"
"balance","AHB100","1.4","1","Кольцо","Ноги прямые                           Нижняя рука прямая              Ноги вместе                     Ноги не скрещены","https://admin.wafed.org/storage/elements/19197/image.webp"
"balance","AHB101","1.4","1","Кольцо","Кисть над щиколоткой                                           Продольный шпагат 180 и более                                           Проворот плеча                                            Свободная рука удерживает ногу","https://admin.wafed.org/storage/elements/19198/image.webp"
"balance","AHB102","1.4","1","Кольцо","Руки прямые                          Ноги прямые                          Линия ног параллельно полу                                           Ягодицы и бёдра не касаются кольца","https://admin.wafed.org/storage/elements/19199/image.webp"
"balance","AHB103","1.4","1","Кольцо","Ноги прямые Удержание одноименной свободной ноги  Свободная рука не на кольце ","https://admin.wafed.org/storage/elements/19200/image.webp"
"balance","AHB104","1.4","1","Кольцо","Грудная клетка на нижней дуге  Корпус в прогибе  Руки не на снаряде Ноги прямые","https://admin.wafed.org/storage/elements/19201/image.webp"
"balance","AHB105","1.4","1","Кольцо","Удержание ног за щиколотки Ноги прямые Упор животом ","https://admin.wafed.org/storage/elements/19202/image.webp"
"balance","AHB106","1.4","1","Кольцо","Нижняя нога прямая Нижняя нога под кольцом Руки прямые Проворот плеч Без зацепа за карабин/стропу","https://admin.wafed.org/storage/elements/19203/image.webp"
"balance","AHB107","1.4","1","Кольцо","Нижняя рука прямая               Продольный шпагат 180 градусов и более                      Без дополнительных зацепов","https://admin.wafed.org/storage/elements/19204/image.webp"
"balance","AHB108","1.4","1","Кольцо","Ноги прямые Ноги раскрыты в стороны и не касаются дуг кольца Спина не касается дуг кольца","https://admin.wafed.org/storage/elements/19205/image.webp"
"balance","AHB109","1.4","1","Кольцо","Заход из положения задний флаг Удержание ноги разноименной рукой на участке от колена до щиколотки Ноги прямые ","https://admin.wafed.org/storage/elements/19206/image.webp"
"balance","AHB110","1.4","1","Кольцо","Ноги прямые Ноги параллельно полу  Продольный шпагат 180 градусов и более","https://admin.wafed.org/storage/elements/19207/image.webp"
"balance","AHB111","1.4","1","Кольцо","Нижняя нога прямая Удержание ноги за щиколотку.  Проворот плеч Без зацепа за карабин/стропу","https://admin.wafed.org/storage/elements/19208/image.webp"
"balance","AHB112","1.4","1","Кольцо","Вис на двух стопах  Удержание ног на участке от колена до щиколотки Ноги прямые Прогиб спины","https://admin.wafed.org/storage/elements/19209/image.webp"
"balance","AHB113","1.4","1","Кольцо","Удержание одной ноги за щиколотку                                Проворот плеч","https://admin.wafed.org/storage/elements/19210/image.webp"
"balance","AHB114","1.4","1","Кольцо","Ноги прямые.                      Проворот плеч.                                   Ноги скрещены.                      Руки на верхней дуге             ","https://admin.wafed.org/storage/elements/19211/image.webp"
"power","ASDP1","0.2","2","Полотно","Верхний спортсмен: Крестовая намоткая на пояснице Удержание двумя руками  Нижний спортсмен: Продольная шпагатная линия менее 180 градусов","https://admin.wafed.org/storage/elements/18702/image.webp"
"power","ASDP2","0.2","2","Полотно","Верхний спортсмен: Крестовая намоткая на пояснице Руки удерживают снаряд  Нижний спортсмен: Руки не на снаряде","https://admin.wafed.org/storage/elements/18703/image.webp"
"power","ASDP3","0.2","2","Полотно","Оба спорстмена: Удержание ноги за щиколотку Нога в намотке прямая Свободная рука не на снаряде","https://admin.wafed.org/storage/elements/18704/image.webp"
"power","ASDP4","0.2","2","Полотно","Верхний спортсмен: Крестовая намоткая на пояснице Руки прямые  Нижний спортсмен: Вис на шее Удержание партнера руками","https://admin.wafed.org/storage/elements/18705/image.webp"
"power","ASDP5","0.4","2","Полотно","Верхний спортсмен: Крестовая намоткая на пояснице Руки прямые  Нижний спортсмен: Вис на согнутой ноге Руки не на снаряде","https://admin.wafed.org/storage/elements/18706/image.webp"
"power","SDP1","0.2","2","Стропы","Оба спортсмена: Вис на одной руке Зацеп подколенками Свободная нога прямая","https://admin.wafed.org/storage/elements/18792/image.webp"
"power","ASDP6","0.4","2","Полотно","Верхний спортсмен: Крестовая намоткая на пояснице Удержание двумя руками  Нижний спортсмен: Продольный шпагат 180 градусов и более","https://admin.wafed.org/storage/elements/18707/image.webp"
"power","SDP2","0.2","2","Стропы","Оба спортсмена: Вис на одной руке Удержание ноги партнёра Ноги прямые Спиной к партнеру","https://admin.wafed.org/storage/elements/18793/image.webp"
"power","ASDP7","0.4","2","Полотно","Верхний спортсмен: Крестовая намоткая на пояснице Руки не удерживают снаряд Руки прямые  Нижний спортсмен: Руки не на снаряде","https://admin.wafed.org/storage/elements/18708/image.webp"
"power","SDP3","0.4","2","Стропы","Верхний спортсмен: Вис на бёдрах Ноги в стороны  Руки не на снаряде и не касаются партнера   Нижний спортсмен: Зацеп голеностопами Руки не на снаряде и не касаются партнера ","https://admin.wafed.org/storage/elements/18794/image.webp"
"power","ASDP8","0.4","2","Полотно","Оба спортсмена: Руки прямые Продольный шпагат 180 градусов и более                     Без фиксации снаряда на руках","https://admin.wafed.org/storage/elements/18709/image.webp"
"power","SDP4","0.4","2","Стропы","Верхний спортсмен: Руки удерживают снаряд  Нижний спортсмен: Вис на подколенках на руках партнёра  Руки не на снаряде","https://admin.wafed.org/storage/elements/18795/image.webp"
"power","ASDP9","0.6","2","Полотно","Верхний спортсмен: Крестовая намоткая на пояснице Руки прямые  Нижний спортсмен: Вис на согнутой ноге Удержание ноги за щиколотку Проворот плеч  Нога согнута","https://admin.wafed.org/storage/elements/18710/image.webp"
"power","SDP5","0.6","2","Стропы","Верхний спортсмен: Удержание партнёра за щиколотку Раскрытие продольной линии менее 180 градусов  Нижний спортсмен: Продольный шпагат 180 градусов и более Удержание разноименной ноги","https://admin.wafed.org/storage/elements/18796/image.webp"
"power","ASDP10","0.6","2","Полотно","Верхний спортсмен: Удерживает петлю из концов полотен Руки прямые                          Крестовая намоткая на пояснице  Нижний спортсмен: Вис на шее Руки не на снаряде","https://admin.wafed.org/storage/elements/18711/image.webp"
"power","SDP6","0.6","2","Стропы","Верхний спортсмен:                 Продольный шпагат 180 градусов и более                                                                                 Нижний спорстмен:                   Продольная шпагатная линия менее 180 градусов","https://admin.wafed.org/storage/elements/18797/image.webp"
"power","ASDP11","0.6","2","Полотно","Оба спорстмена: Вис на одной руке Отклонение линии ног от параллели полу более 45 градусов Вторая рука не на снаряде","https://admin.wafed.org/storage/elements/18712/image.webp"
"power","SDP7","0.6","2","Стропы","Верхний спортсмен:  Вис на руках на прямом хвате  Продольная шпагатная линия менее 180 градусов   Нижний спортсмен:  Вис на руках с обхватом строп   Продольная шпагатная линия менее 180 градусов","https://admin.wafed.org/storage/elements/18798/image.webp"
